"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
176957-2025,"19/03/2025 (UTC+01)","Belgium – Environmental services – Environmental Footprint Helpdesk for the post transition phase","European Commission, DG ENV - Environment",Open,,"No 090202/2025/4500083462/SER/ENV.B1",,LOT-0001,,"SPHERA SOLUTIONS GMBH---MAKI CONSULTING GMBH---STUDIO FIESCHI & SOCI SRL",," "," ",
176980-2025,"19/03/2025 (UTC+01)","Germany – Medical practice services – Services in the field of occupational health and medical radiation protection (""Ermächtige Arzt"") for exposed staff of the Joint Research Centre (JRC) in Karlsruhe (DE)","European Commission, DG HR - Human Resources and Security",Open,,EC-HR/KRU/2024/OP/0071,,LOT-0001,,"SCHEROTZKESTRUCK ALEXANDRA",," "," ",
177030-2025,"19/03/2025 (UTC+01)","Myanmar/Burma – Public relations services – Strategic Communication and Public Diplomacy of the European Union Delegation to Myanmar","European Commission, INTPA - International Partnerships",Restricted,,2025/483036,,LOT-0001,,"ALTAIR ASESORES SL---PARTICIP GMBH",," "," ",
179805-2025,"20/03/2025 (UTC+01)","Spain – Survey services – Survey on the role of vehicle generated data on the functioning of vehicle and spare parts distribution markets and the provision of repair and maintenance services","European Commission, DG JRC - Joint Research Centre",Open,,300117418,,LOT-0001,,"VERIAN GROUP BELGIUM SA",," "," ",
182721-2025,"21/03/2025 (UTC+01)","Belgium – Environmental services – Framework contract on Co-operation with national judges in the field of environmental law","European Commission, DG ENV - Environment",Open,,ENV.E2/FRA/2024/0037,,LOT-0001,,"EUROPAEISCHE RECHTSAKADEMIE TRIER OFFENTLICHE STIFTUNG",," "," ",
183175-2025,"21/03/2025 (UTC+01)","Belgium – Washing and dry-cleaning services – Services de blanchisserie, nettoyage à sec et entretien de linge et vêtements pour les services de la Commission européenne à Bruxelles.","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,"EC-OIB/2024/OP/0067/C0/L0",,LOT-0001,,St-Joris,," "," ",
184592-2025,"21/03/2025 (UTC+01)","Italy – Repair and maintenance services – Contratto quadro per servizi di manutenzione su strumenti Hamilton","Commissione europea, Centro comune di ricerca (JRC)","Negotiated without prior call for competition",,FW-00177222,,LOT-0001,,"HAMILTON ROBOTICS ITALIA ~ HAMILTON ITALIA SRL",," "," ",
185504-2025,"21/03/2025 (UTC+01)","Belgium – Business services: law, marketing, consulting, recruitment, printing and security – Delivering the European Green Deal under Policy Objective 2: Evaluation on the bottlenecks to reach the objectives of Green Deal (2024CE16BAT033)","European Commission, DG REGIO - Regional and Urban Policy",Open,,2024CE16BAT033,,LOT-0001,,"TECHNOPOLIS CONSULTING GROUP BELGIUM---OIR GMBH---VM EUROPE",," "," ",
187531-2025,"24/03/2025 (UTC+01)","Belgium – Solar photovoltaic modules – Rachat de l’installation complète des panneaux photovoltaïques situés sur le toit de l’immeuble NOHE de la Commission européenne et de l’immeuble voisin","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels","Negotiated without prior call for competition",,"EC-OIB/2024/NP/0112/C0/L0",,LOT-0001,,"ORKA BRUSSEL NV",," "," ",
189241-2025,"25/03/2025 (UTC+01)","Belgium, Luxembourg, France, Latvia, Netherlands, Spain, Poland, Sweden, Greece, Finland, Romania, Denmark, Italy, Ireland, Lithuania, Germany, Slovakia, Portugal, Hungary, Malta, Austria, Slovenia, Estonia, Czechia – Training services – Framework Contract for the provision of “training on corporate finance and accounting IT systems” specific to the European Union","European Commission, DG BUDG - Budget, EDPS - European Data Protection Supervisor, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), Agency for Support for BEREC (BEREC Office), Chips Joint Undertaking, Clean Aviation Joint Undertaking, EDCTP3 JU - Global Health EDCTP3 Joint Undertaking, Eurojust, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Border and Coast Guard Agency (FRONTEX), European Centre for Disease Prevention and Control, European Centre for the Development of Vocational Training, European Chemicals Agency, European Cybersecurity Industrial, Technology and Research Competence Centre, European Defence Agency, European Environment Agency (EEA), European Fisheries Control Agency (EFCA), European Food Safety Authority, European Foundation for the Improvement of Living and Working Conditions, European High-Performance Computing Joint Undertaking, European Institute for Gender Equality, European Insurance and Occupational Pensions Authority, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency For Law Enforcement Training, European Union Agency for Asylum, European Union Agency for Cybersecurity (ENISA), European Union Agency for Fundamental Rights, European Union Agency for Law Enforcement Cooperation, European Union Agency for Railways, European Union Agency for the Cooperation of Energy Regulators, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), European Union Agency for the Space Programme, European Union Aviation Safety Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee",Open,,BUDG/2024/OP/0002,,LOT-0001,,"DELOITTE CONSULTING & ADVISORY BV",," "," ",
191496-2025,"25/03/2025 (UTC+01)","Belgium – Economic research services – Study on national legal framework and obstacles for asset tokenisation in Member States","European Commission, DG FISMA - Financial Stability, Financial Services and Capital Markets Union",Open,,EC-FISMA/2024/OP/0003,,LOT-0001,,"EY ECONOMIC AND POLICY ADVISORY SERVICES SRL",," "," ",
193193-2025,"26/03/2025 (UTC+01)","Belgium – Research and development consultancy services – European Commission Call for tender EU-JUST/2024/OP/0003 for service, Online courses on the Charter of Fundamental Rights","European Commission, DG JUST - Justice and Consumers",Open,,"JUST/2024/OP/0003 (JUST/2023/PR/PFRI/RIGH/0124)",,LOT-0001,,"KATHOLIEKE UNIVERSITEIT LEUVEN, UNIVERSITY OF LEUVEN---RAOUL WALLENBERG INSTITUTE FOR HUMAN ~ RAOUL WALLENBERG INSTITUTET FOR MANSKIGA RATTIGHETER OCH HUMANITAR RATT STIFTELSEN RIGHTS AND HUMANITAR---THE GOOD LOBBY ASSOCIATION FOR THEPROMOTION OF CIVIC PARTICIPATION THROUGH ACADEMIC RESEARCH DISSEMINATION TRAINING AND CAMPAIGNING FOR TH",," "," ",
194989-2025,"26/03/2025 (UTC+01)","Belgium, Luxembourg, France, Latvia, Netherlands, Spain, Poland, Sweden, Finland, Denmark, Italy, Ireland, Lithuania, Germany, Slovakia, Portugal, Hungary, Malta, Greece, Austria, Slovenia, Estonia, Czechia – Training services – Learning and Development Services for staff of the Institutions, Bodies and Agencies (IBAs) of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EDPS - European Data Protection Supervisor, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), Agency for Support for BEREC (BEREC Office), CEDEFOP - European Centre for the Development of Vocational Training, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Clean Aviation Joint Undertaking, Clean Hydrogen Joint Undertaking, Community Plant Variety Office, EDCTP3 JU - Global Health EDCTP3 Joint Undertaking, Eurojust, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Border and Coast Guard Agency (FRONTEX), European Centre for Disease Prevention and Control, European Chemicals Agency, European Defence Agency, European Environment Agency (EEA), European Fisheries Control Agency (EFCA), European Food Safety Authority, European Foundation for the Improvement of Living and Working Conditions, European High-Performance Computing Joint Undertaking, European Institute for Gender Equality, European Insurance and Occupational Pensions Authority, European Investment Bank, European Investment Fund, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency For Law Enforcement Training, European Union Agency for Asylum, European Union Agency for Cybersecurity (ENISA), European Union Agency for Fundamental Rights, European Union Agency for Law Enforcement Cooperation, European Union Agency for Railways, European Union Agency for the Cooperation of Energy Regulators, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), European Union Agency for the Space Programme, European Union Aviation Safety Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee",Open,,HR/2023/OP/0313,,LOT-0002,,"EY ADVISORY SPA",," "," ",
195116-2025,"26/03/2025 (UTC+01)","Belgium – Market research services – Study into how emerging technologies may impact digital market regulation","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,4500082686,,LOT-0001,,"LE EUROPE LIMITED",," "," ",
195892-2025,"27/03/2025 (UTC+01)","South Africa – Research and development services and related consultancy services – Bridging inequalities through greener municipalities","European Commission, INTPA - International Partnerships",Restricted,,,,LOT-0001,,"Not Awarded",," "," ",
201772-2025,"28/03/2025 (UTC+01)","Belgium – Miscellaneous business-related services – Support to the permanent structure of the EU-Africa Business Forum","European Commission, INTPA ­ International Partnerships",Restricted,,452-192,,LOT-0001,,"Landell Mills International Ltd---GFA---Adam Smith Europe BV","14 326 000,00",,,EUR
209335-2025,"01/04/2025 (UTC+02)","Germany – Modular and portable buildings – Lieferung und Aufbau einer Containeranlage im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated with prior publication of a call for competition / competitive with negotiation",,"CCR.455-2025-02 KAR DE",,LOT-0001,,"BPLUSL INFRA LOG GMBH",," "," ",
211470-2025,"02/04/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Technical Assistance for Member States with low effective participation under the Innovation Fund","European Commission, DG CLIMA - Climate Action",Open,,"EC-CLIMA/2024/OP/0004/C.2",,LOT-0001,,"ICF SA",," "," ",
211996-2025,"02/04/2025 (UTC+02)","Germany – Ventilation equipment – Supply of a glove box exhaust system in wing A","European Commission, DG JRC - Joint Research Centre",Open,,"300114247-2025-03 KAR DE",,LOT-0001,,"KRANTZ GMBH",," "," ",
216141-2025,"03/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – PROSERV DPS TMC1 - DIGIT C2 Senior Integration Architect","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,T125325,,LOT-0001,,"CRONOS EUROPA",," "," ",
216535-2025,"03/04/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Promote the exchange of best practices of cross-border cooperation among border stakeholders in Europe (2024CE160AT093)","European Commission, DG REGIO - Regional and Urban Policy",Open,,2024CE160AT093,,LOT-0001,,"LOW ASSOCIATES BRUSSELS---TREK ANAPTYKSIAKON IPODOMON KE IPIRESION ANONIMI ETERIA",," "," ",
216714-2025,"03/04/2025 (UTC+02)","Belgium – Research and development services and related consultancy services – Future Oriented Policymaking - Toolkit and training programme","European Commission, DG JRC - Joint Research Centre",Open,,"Contract 300114200",,LOT-0001,,"NEW MINDSET SL",," "," ",
222182-2025,"07/04/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products","Health and Digital Executive Agency (HaDEA) , HADEA - Health and Digital Executive Agency, EC - European Commission",Open,yes,HADEA/2024/OP/0029,"Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products",LOT-0001,,"THE BOSTON CONSULTING GROUP","6 000 000,00",,,EUR
222182-2025,"07/04/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products","Health and Digital Executive Agency (HaDEA) , HADEA - Health and Digital Executive Agency, EC - European Commission",Open,yes,HADEA/2024/OP/0029,"Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products",LOT-0001,,"KPMG ADVISORY SPA","6 000 000,00",,,EUR
222182-2025,"07/04/2025 (UTC+02)","Belgium – Business and management consultancy and related services – Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products","Health and Digital Executive Agency (HaDEA) , HADEA - Health and Digital Executive Agency, EC - European Commission",Open,yes,HADEA/2024/OP/0029,"Framework contract in cascade for the implementation of pharmaceutical legislation and data-driven policy for medical products",LOT-0001,,"TECHNOPOLIS CONSULTING GROUP BELGIUM","6 000 000,00",,,EUR
222429-2025,"07/04/2025 (UTC+02)","Luxembourg – Statistical services – Organisation and implementation of EMOS mobility activities","European Commission, DG ESTAT - Eurostat",Open,,2024.0352,,LOT-0001,,"DEVSTAT SERVICIOS DE CONSULTORIA ESTADISTICA SL",," "," ",
224224-2025,"08/04/2025 (UTC+02)","Moldova – Government services – European Moldova - Support for EU Integration","European Union, represented by the European Commission on behalf of and for the account of Moldova",Restricted,,"NDICI-GEO-ENEST-2025/483169",,LOT-0001,,"BE BERLIN ECONOMICS GMBH---GOPA PARTNERS IN ACTION FOR CHANGE AND ENGAGEMENT---DAI GLOBAL BELGIUM---ASOCIATIA OBSTEASCA CENTRUL DE RESURSE---GOPA WORLDWIDE CONSULTANTS GMBH",," "," ",
230417-2025,"09/04/2025 (UTC+02)","Italy – Cemetery services and cremation services – REALIZZAZIONE IN CONCESSIONE DEL COMPLETAMENTO DEI CIMITERI DEL COMUNE DI IMPERIA DI UN TEMPIO CREMATORIO PRESSO IL CIMITERO DI ONEGLIA E RELATIVA GESTIONE DEI CIMITERI E DEL TEMPIO, MEDIANTE LA PROCEDURA DI ""FINANZA DI PROGETTO"" AI SENSI DELL'ART.183, COMMA 15, DEL DLGS N. 50 DEL 18/04/2016 E SS.MM.E II.","COMUNE DI IMPERIA",Open,,283261-2021,,LOT-0001,,"SERVIZI CIMITERIALI IMPERIA S.R.L.","44 602 563,00",,,EUR
231543-2025,"10/04/2025 (UTC+02)","Belgium – Lifting and handling equipment and parts – Supplies for the sustainable maintenance of cultural heritage monuments of great importance for Cyprus","European Commission, REGIO - Regional and Urban Policy",Open,,,,LOT-0001,,"Not Awarded",," "," ",
233013-2025,"10/04/2025 (UTC+02)","Sierra Leone – Administration services – Technical Assistance for Business Environment and Competitiveness","European Commission, INTPA - International Partnerships",Restricted,,483118,,LOT-0001,,"AGRICONSULTING EUROPE S.A.---CADMUS INTERNATIONAL UK LIMITED",," "," ",
238670-2025,"11/04/2025 (UTC+02)","Belgium – Legal advisory and information services – Legal advice for the Welcome Offices of the European Commission (6 lots)","European Commission, DG HR - Human Resources and Security",Open,,EC-HR/2024/OP/0190,,LOT-0001,,LEGILE,," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/177,,LOT-0001,,"WESTPOLE BELGIUM---Almaviva de Belgique SA---THALERIA---ARHS DEVELOPMENTS SA---UNISYS BELGIUM",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/177,,LOT-0001,,"WESTPOLE BELGIUM---Almaviva de Belgique SA---THALERIA---ARHS DEVELOPMENTS SA---UNISYS BELGIUM",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/177,,LOT-0001,,"WESTPOLE BELGIUM---Almaviva de Belgique SA---THALERIA---ARHS DEVELOPMENTS SA---UNISYS BELGIUM",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/177,,LOT-0001,,"WESTPOLE BELGIUM---Almaviva de Belgique SA---THALERIA---ARHS DEVELOPMENTS SA---UNISYS BELGIUM",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/177,,LOT-0001,,"WESTPOLE BELGIUM---Almaviva de Belgique SA---THALERIA---ARHS DEVELOPMENTS SA---UNISYS BELGIUM",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/178,,LOT-0001,,"QINSHIFT CZECHIA SRO---TWENTY8---LEONARDO BELGIUM SA---ARICOMA SYSTEMS",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/178,,LOT-0001,,"QINSHIFT CZECHIA SRO---TWENTY8---LEONARDO BELGIUM SA---ARICOMA SYSTEMS",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/178,,LOT-0001,,"QINSHIFT CZECHIA SRO---TWENTY8---LEONARDO BELGIUM SA---ARICOMA SYSTEMS",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/178,,LOT-0001,,"QINSHIFT CZECHIA SRO---TWENTY8---LEONARDO BELGIUM SA---ARICOMA SYSTEMS",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/179,,LOT-0001,,"FINCONS BE---FINCONS SPA---VASS EU SERVICES",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/179,,LOT-0001,,"FINCONS BE---FINCONS SPA---VASS EU SERVICES",," "," ",
239833-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Provision of external service providers for DG TAXUD","European Commission, DG TAXUD - Taxation and Customs Union",Open,,TAXUD/2025/CC/179,,LOT-0001,,"FINCONS BE---FINCONS SPA---VASS EU SERVICES",," "," ",
240508-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Secure operations of TAXUD central and distributed Information Systems (TAXUD-OPS)","European Commission, DG TAXUD - Taxation and Customs Union",Open,,,,LOT-0001,,"Not Awarded",," "," ",
241597-2025,"14/04/2025 (UTC+02)","Belgium – Software package and information systems – Microsoft ILA-2025","European Commission, DG DIGIT - Digital Services","Negotiated without prior call for competition",,DI-08110,,LOT-0001,,"Microsoft Ireland Operations Limited","1,00",,,EUR
241763-2025,"14/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Secure operations of TAXUD central and distributed Information Systems (TAXUD-OPS)","European Commission, DG TAXUD - Taxation and Customs Union",Open,,,,LOT-0002,,"Not Awarded",," "," ",
243271-2025,"15/04/2025 (UTC+02)","Montenegro – Technical assistance services – Technical assistance for capacity building and improved legal harmonization, performance and efficiency within the transport sector in Montenegro","European Union, represented by the European Commission on behalf of and for the account of Montenegro",Restricted,,"IPA III/2024/462-662",,LOT-0001,,"DAI GLOBAL BELGIUM---ENOVA D.O.O. SARAJEVO---DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH",," "," ",
243623-2025,"15/04/2025 (UTC+02)","Spain – Research and experimental development services – Capacity building and Experimentation for Innovation for Place-based Transformation","European Commission, DG JRC - Joint Research Centre",Open,,300110540,,LOT-0001,,"Stichting Climate-KIC International Foundation---EUROPEAN REGIONS RESEARCH AND INNOVATION NETWORK---ASSOCIATION EUROPEENNE DES AGENCESDE DEVELOPPEMENT",," "," ",
244080-2025,"15/04/2025 (UTC+02)","Georgia – Research and development services and related consultancy services – Support to the creation of Georgia’s Digital Hub","European Commission, ENEST.C - Neighbourhood East & Türkiye",Restricted,,,,LOT-0001,,"Not Awarded",," "," ",
246742-2025,"15/04/2025 (UTC+02)","Belgium – Telecommunications services – GEANT/Internet connection for JRC-Geel","European Commission, DG JRC - Joint Research Centre","Negotiated without prior call for competition",,300120012,,LOT-0001,,"BELNET RESEAU TELEMATIQUE BELGE DE LA RECHERCHE ~ BELNET BELGISCH TELEMATICAONDERZOEKNETWERK, BELNET RESEAU TELEMATIQUE BBELGE DE LA RECHERCHE",," "," ",
249006-2025,"16/04/2025 (UTC+02)","Slovenia, Belgium – Reception services – Management of the information Centre and Europa Experience (INFO POINT) in the House of European Union in Ljubljana","European Commission, DG COMM - Communication, EP - European Parliament",Open,,EC-COMM/LJU/2024/OP/0376,,LOT-0001,,"IPM INSTITUT ZA POLITICNI MENEDZMENT",," "," ",
249454-2025,"16/04/2025 (UTC+02)","North Macedonia – Railway transport services – Technical assistance for upgrading and widenning of railway border crossings along Corridor X and VIII","European Union, represented by the European Commission on behalf of and for the account of North Macedonia",Restricted,,2024/462562,,LOT-0001,,"SAFEGE---TUMAS Turkish Engineering, Consulting, and Contracting Co",," "," ",
249659-2025,"16/04/2025 (UTC+02)","Belgium – Arbitration and conciliation services – Expert research and witness services for the preparation of EU’s defence in the arbitration procedure in Klesch Group Holdings Limited & Others v. European Union, Germany, and Denmark (ICSID Cases No ARB(AF)/23/1, ARB/23/48, and ARB/23/49)","European Commission, DG TAXUD - Taxation and Customs Union","Negotiated without prior call for competition",,TAXUD/2025/CC/181,,LOT-0001,,"NERA ECONOMIC CONSULTING GMBH",," "," ",
249929-2025,"16/04/2025 (UTC+02)","Germany – Draft plans (systems and integration) – Detailplanung der F30-Brandschutzdecken in den Fluren von Flügel M","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated without prior call for competition",,300111392,,LOT-0001,,"wörner nordhues engineering GmbH",," "," ",
252260-2025,"17/04/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – Better Internet for Kids (BIK) Platform – EU Coordination","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,4500092722,,LOT-0001,,"EUN PARTNERSHIP AISBL",," "," ",
256091-2025,"18/04/2025 (UTC+02)","Romania, Luxembourg – Cleaning services – Cleaning services for the premises of the EU-House and ECCC in Bucharest, Romania","European Commission, DG COMM - Communication, European Parliament, INLO - Directorate-General for Infrastructure and Logistics, European Cybersecurity Industrial, Technology and Research Competence Centre",Open,,EC-COMM/BUH/2024/OP/0393,,LOT-0001,,"DAROM IMPEX SRL",," "," ",
260364-2025,"23/04/2025 (UTC+02)","Croatia, Luxembourg – Guard services – Security Guard and Reception/Switchboard Services for the premises of the European Commission Representation in Croatia and European Parliament Liaison Office and Europa Experience Centre in Croatia 2025 - 2029","European Commission, DG COMM - Communication, parlement européen, SAFE - Directorate-General for Security and Safety",Restricted,,COMM/ZAG/2024/RP/0437,,LOT-0001,,"SOKOL d.o.o.",," "," ",
261724-2025,"23/04/2025 (UTC+02)","Belgium – Technical analysis or consultancy services – Competition PROSERV-0002 – DIGIT C2 Expert Collaboration System","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,T132396,,LOT-0001,,"EDDA INTERNATIONAL S.A.",," "," ",
262841-2025,"23/04/2025 (UTC+02)","Belgium – Hotel meeting and conference services – 2025/A1/A04 - EU Participation in the 14th WTO Ministerial Conference (MC14): logistics","European Commission, DG TRADE - Trade","Negotiated without prior call for competition",,TRADE/2025/A1/A04,,LOT-0001,,"HOTELHILTON CHC ~ CAMEROON HOTEL CORPORATION SA",," "," ",
267405-2025,"25/04/2025 (UTC+02)","Belgium – Environmental services – Sustainable Public Procurement Helpdesk for EU-Institutions and -Bodies","European Parliament, SG - Office of the Secretary-General, European Commission, DG ECFIN - Economic and Financial Affairs",Open,,EMAS-2025-FWC-001,,LOT-0001,,"CODUCO---ICLEI EUROPEAN SECRETARIAT GMBH (ICLEI EUROPASEKRETARIAT GMBH)",," "," ",
269742-2025,"25/04/2025 (UTC+02)","Belgium – Television broadcast transmission services – Provision of Transmission Services","European Commission, DG COMM - Communication",Open,,EC-COMM/2024/OP/0578,,LOT-0001,,"SERVICIOS AUDIOVISUALES OVERON SL",," "," ",
270110-2025,"28/04/2025 (UTC+02)","Belgium, Luxembourg, France, Spain, Greece, Hungary, Slovakia, Portugal, Netherlands, Italy, Malta, Slovenia, Germany – Training services – Language training for the Institutions, Bodies and Agencies of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), AMLA - Authority for Anti-Money Laundering and Countering the Financing of Terrorism, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Centre for the Development of Vocational Training, European Defence Agency, European Fisheries Control Agency (EFCA), European High-Performance Computing Joint Undertaking, European Institute of Innovation and Technology, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency for Asylum, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Aviation Safety Agency, European Union Drugs Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee, ESM - European Stability Mechanism",Open,,,,LOT-0011,,"Not Awarded",," "," ",
273908-2025,"29/04/2025 (UTC+02)","Belgium – Blood products – Human serum Lp(a), APOA-I, APOB","European Commission, DG JRC - Joint Research Centre",Open,,,,LOT-0002,,"Not Awarded",," "," ",
275584-2025,"29/04/2025 (UTC+02)","Belgium – Blood products – Human serum Lp(a), APOA-I, APOB","European Commission, DG JRC - Joint Research Centre",Open,,,,LOT-0001,,"Not Awarded",," "," ",
277359-2025,"29/04/2025 (UTC+02)","Belgium – Blood products – Human serum Lp(a), APOA-I, APOB","European Commission, DG JRC - Joint Research Centre",Open,,,,LOT-0003,,"Not Awarded",," "," ",
278351-2025,"30/04/2025 (UTC+02)","Belgium – Child daycare services – Réservation et occupation de places en crèches autorisées et/ou agréées à Bruxelles (existantes ou à créer)","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,,,LOT-0004,,"Not Awarded",," "," ",
